CONCEPT				POLARITY		INTENSITY
active_intellect		positive		0.935
active_involvement		negative		-0.78
active_lifestyle		negative		-0.03
active_participation		positive		0.082
active_participle		positive		0.693
active_role			negative		-0.78
active_volcano			negative		-0.87
actively			positive		0.782
actively_collaborate		positive		0.877
actively_encourage		positive		0.874
actively_engage			positive		0.874
actively_manage			positive		0.798
actively_monitor		positive		0.054
actively_participate		negative		-0.84
actively_promote		positive		0.874
actively_resist			negative		-0.78
activeness			positive		0.799
activewear			negative		-0.61
activism			negative		-0.93
activist			positive		0.865
activity			positive		0.09
activity_described		negative		-0.82
actor				positive		0.939
actor_chow_yun			negative		-0.97
actor_equity			positive		0.863
actorly				negative		-0.62
actress				positive		0.628
actress_singer			positive		0.891
actual				positive		0.103
actual_eviction			negative		-0.82
actual_expenditure		positive		0.127
actualist			positive		0.736
actuality			positive		0.208
actualization			positive		0.138
actualize			positive		0.606
actually			negative		-0.76
actuated			positive		0.921
actus_purus			positive		0.699
actus_reus			negative		-0.65
acuity				positive		0.856
aculeatus			negative		-0.76
acumen				positive		0.737
acutance			positive		0.911
acute				negative		-0.87
acute_accent			negative		-0.67
acute_anxiety			negative		-0.73
acute_appendicitis		negative		-0.88
acute_asthma			negative		-0.81
acute_awareness			positive		0.872
acute_bronchitis		negative		-0.81
acute_chest_pain		negative		-0.20
acute_cholecystitis		negative		-0.88
acute_coronary_syndrome		negative		-0.20
acute_diarrhea			negative		-0.74
acute_diverticulitis		negative		-0.88
acute_exacerbation		negative		-0.81
acute_fever			negative		-0.96
acute_gastritis			negative		-0.89
acute_gastroenteritis		negative		-0.74
acute_glossitis			negative		-0.76
acute_gvhd			negative		-0.69
acute_heart_failure		negative		-0.91
acute_illness			negative		-0.15
acute_illnesses			negative		-0.15
acute_infectious_disease	negative		-0.90
acute_inflammatory		negative		-0.79
acute_intermittent_porphyria	negative		-0.79
acute_kidney_failure		negative		-0.56
acute_laryngitis		positive		0.106
acute_leukemia			negative		-0.88
acute_lymphoblastic_leukemia	negative		-0.88
acute_lymphocytic_leukemia	negative		-0.88
acute_myelogenous_leukemia	negative		-0.88
acute_myeloid_leukaemia		negative		-0.88
acute_myeloid_leukemia		negative		-0.88
acute_onset			negative		-0.72
acute_otitis_media		negative		-0.81
acute_phase			negative		-0.69
acute_pneumonia			negative		-0.15
acute_porphyria			negative		-0.79
acute_rehabilitation		positive		0.715
acute_renal_failure		negative		-0.56
acute_rheumatic_fever		negative		-0.71
acute_shortage			negative		-0.83
acute_shortages			negative		-0.83
acute_sinusitis			negative		-0.81
acute_trauma			negative		-0.84
acute_triangle			positive		0.717
acute_urinary_retention		negative		-0.74
acutely				negative		-0.91
acuteness			positive		0.794
acyclovir_resistant		negative		-0.41
acyl_coa			negative		-0.65
acyltransferase			negative		-0.65
ad				negative		-0.85
ad_blocker			negative		-0.08
ad_campaign			positive		0.938
ad_exec				negative		-0.65
ad_hd				negative		-0.77
ad_hoc				positive		0.094
ad_hoc_basis			positive		0.094
ad_hominem			positive		0.734
ad_hominem_argument		positive		0.734
ad_hominem_attack		negative		-0.69
ad_impression			positive		0.826
ad_nauseam			positive		0.059
ad_revenue			positive		0.826
ad_valorem_tax			positive		0.728
adage				positive		0.059
adagio				positive		0.598
adam_lyth			negative		-0.77
adamance			negative		-0.83
adamance_of_purpose		negative		-0.83
adamant				negative		-0.69
adamantine			positive		0.859
adamantium			positive		0.859
adamantly			negative		-0.69
adamic_language			positive		0.75
adapt				positive		0.054
adaptability			positive		0.852
adaptable			positive		0.054
adaptation			positive		0.859
adapted				positive		0.915
adapter				positive		0.794
adaption			positive		0.853
adaptive			positive		0.919
adaptive_interface		positive		0.741
adaptive_optics_system		positive		0.039
adaptive_system			positive		0.741
adaptively			positive		0.915
adaptiveness			positive		0.915
adaptor				positive		0.79
adaxial_surface			negative		-0.69
adblock				negative		-0.08
add				positive		0.095
add-on				negative		-0.84
add_adhd			positive		0.745
add_broth			negative		-0.77
add_dry_ingredient		positive		0.06
add_flavor			positive		0.054
add_garlic			negative		-0.77
add_knowledge			positive		0.757
add_number			positive		0.951
add_number_together		positive		0.13
add_on				positive		0.766
add_onion			negative		-0.77
add_onions			negative		-0.77
add_spice			negative		-0.03
add_sugar			positive		0.357
add_two_numbers			positive		0.068
add_two_numbers_together	positive		0.836
add_up_column_number		positive		0.039
add_up_number			positive		0.054
added_bonus			positive		0.076
added_value			positive		0.106
addendum			positive		0.091
adder				negative		-0.85
addict				negative		-0.35
addicted			negative		-0.24
addicted_computer_game		negative		-0.71
addicting			negative		-0.83
addiction			negative		-0.85
addiction_treatment		positive		0.715
addictive			negative		-0.78
addictive_drug			negative		-0.77
addictive_nature		negative		-0.77
addictive_substance		negative		-0.77
addition			positive		0.086
additional			positive		0.208
additional_burden		negative		-0.89
additional_revenue_stream	positive		0.826
additionally			positive		0.121
additive			negative		-0.78
additive_effect			positive		0.09
additivity			negative		-0.80
addle				negative		-0.64
addlehead			negative		-0.77
addling				positive		0.847
address				positive		0.068
address_book			positive		0.068
address_label			positive		0.054
addressee			negative		-0.72
adduce				positive		0.891
adducing_evidence		negative		-0.88
adductor			positive		0.781
adefovir			negative		-0.84
adelgid				negative		-0.71
adelphi_theatre			negative		-0.62
adenoma				negative		-0.63
adenomyosis			negative		-0.73
adenopathy			negative		-0.78
adenosine			positive		0.943
adenosis			negative		-0.58
adenozine			positive		0.943
adept				positive		0.897
adept_at			positive		0.083
adeptly				positive		0.758
adeptness			positive		0.731
adequacy			negative		-0.94
adequate			positive		0.784
adequate_assurance		positive		0.222
adequate_documentation		positive		0.844
adequate_explanation		positive		0.084
adequate_moisture		negative		-0.05
adequate_pain_relief		negative		-0.07
adequate_remedy			positive		0.844
adequate_substantiation		positive		0.844
adequate_to			positive		0.784
adequate_ventilation		positive		0.11
adequately			positive		0.132
adequately_address		positive		0.068
adequately_capture		negative		-0.71
adequately_enforce		negative		-0.89
adequateness			negative		-0.94
adessive			positive		0.693
adforce				negative		-0.67
adhart				positive		0.875
adhd				negative		-0.77
adhere				positive		0.076
adhere_strictly			positive		0.652
adherence			positive		0.777
adherent			positive		0.78
adherently			positive		0.774
adhesion_contract		positive		0.875
adhesion_strength		positive		0.686
adhesive			negative		-0.97
adhesive-backed			negative		-0.79
