CONCEPT				POLARITY		INTENSITY
polysemic			positive		0.606
polysemy			positive		0.911
polysomy			positive		0.731
polystichum			positive		0.715
polystyrene			positive		0.074
polystyrene_foam		positive		0.683
polysyllabic			negative		-0.77
polysyllable			negative		-0.93
polytechnic_campus		positive		0.03
polytechnic_institute		positive		0.821
polythene			positive		0.683
polytonal			negative		-0.72
polytonality			negative		-0.72
polytunnel			negative		-0.05
polyurethane			positive		0.355
polyurethane_foam		positive		0.074
polyurethane_foams		positive		0.074
polyuria			positive		0.637
polyvinyl_alcohol		positive		0.035
polyvinylidene_fluoride		positive		0.035
pomade				positive		0.889
pomaded				positive		0.826
pomander			negative		-0.76
pomegranate			positive		0.762
pomegranate_molasses		negative		-0.05
pomegranate_tree		negative		-0.31
pomelo				positive		0.914
pommel				negative		-0.84
pommel_horse			positive		0.865
pomp				positive		0.849
pompom				positive		0.846
pomposity			negative		-0.82
pompous				negative		-0.79
pompously			positive		0.851
pompousness			negative		-0.65
pond				positive		0.073
pond_cypress			negative		-0.83
pond_inlet			positive		0.054
ponder				positive		0.818
ponderable			positive		0.725
pondering			positive		0.706
ponderosa			positive		0.354
ponderosa_pine			positive		0.353
ponderosa_pine_pinus_ponderosa	negative		-0.83
ponderous			negative		-0.88
ponderousness			negative		-0.82
pondweed			positive		0.711
pondy_bazaar			positive		0.043
pong				negative		-0.82
poniard				negative		-0.84
ponies				positive		0.071
pontiac_bonneville		negative		-0.08
pontificate			positive		0.912
pontificator			negative		-0.77
pontoon				positive		0.939
pontryagin_class		negative		-0.80
pony				positive		0.05
pony_tail			negative		-0.84
ponzi_schemer			negative		-0.87
ponzu				positive		0.889
poo				positive		0.032
pooch				negative		-0.73
pooches				positive		0.049
poodle				negative		-0.73
poofter				negative		-0.16
pool				positive		0.964
pool_deck			positive		0.964
pool_hall			positive		0.103
pool_heater			positive		0.048
pool_party			positive		0.728
pool_table			positive		0.834
pooled_fund_study		positive		0.095
poop				negative		-0.04
poop_out			positive		0.814
pooper_scooper			negative		-0.04
poor				negative		-0.38
poor_country			negative		-0.38
poor_credit_rating		positive		0.885
poor_english			negative		-0.91
poor_eyesight			negative		-0.13
poor_fish			negative		-0.70
poor_health			negative		-0.16
poor_hygiene			negative		-0.84
poor_lad			negative		-0.40
poor_nutrition			negative		-0.84
poor_oral_hygiene		negative		-0.88
poor_parenting_skill		negative		-0.69
poor_people			positive		0.048
poor_person			negative		-0.06
poor_personal_hygiene		positive		0.042
poor_posture			negative		-0.69
poor_quality			negative		-0.72
poor_sanitary_condition		negative		-0.84
poor_sanitation			negative		-0.84
poor_sight			negative		-0.86
poor_strategy			negative		-0.05
poor_ventilation		positive		0.718
poor_vision			negative		-0.85
poor_visual_perception		negative		-0.85
poor_workmanship		negative		-0.72
poor_wretch			negative		-0.77
poorer				negative		-0.38
poorer_community		negative		-0.38
poorer_family			negative		-0.38
poorer_household		negative		-0.38
poorer_section			negative		-0.38
poorest				negative		-0.38
poorest_community		negative		-0.08
poorest_family			negative		-0.38
poorest_household		negative		-0.38
poorest_sector			negative		-0.38
poorhouse			negative		-0.86
poorly				negative		-0.04
poorness			negative		-0.70
pop				positive		0.068
pop_album_chart			positive		0.871
pop_balloon			negative		-0.05
pop_bumper			positive		0.85
pop_can				positive		0.09
pop_chart			positive		0.871
pop_crossover			positive		0.841
pop_culture_phenomenon		negative		-0.19
pop_group			negative		-0.65
pop_hook			negative		-0.62
pop_idol			positive		0.852
pop_imap			positive		0.062
pop_music			positive		0.027
pop_musician			positive		0.937
pop_popcorn			negative		-0.10
pop_punk			positive		0.726
pop_punk_band			negative		-0.08
pop_quiz			positive		0.756
pop_rap				positive		0.039
pop_rock_singer			positive		0.937
pop_sensation			positive		0.891
pop_singer			positive		0.891
pop_singer_songwriter		positive		0.891
pop_song_chart			positive		0.871
pop_star			positive		0.891
pop_stardom			positive		0.852
pop_the_question		positive		0.748
pop_tune			positive		0.658
pop_up				negative		-0.08
pop_vocalist			positive		0.891
popcorn				negative		-0.03
popcorn_movie			negative		-0.33
popdose				positive		0.636
pope				positive		0.148
popemobile			negative		-0.06
popery				negative		-0.86
popinjay			negative		-0.82
poplar_populus			positive		0.648
poplar_street			positive		0.044
popoto				negative		-0.84
popped_up			negative		-0.08
popper				positive		0.921
poppet				negative		-0.79
popping_out			positive		0.085
popping_up			negative		-0.08
poppy				positive		0.946
poppy_seed			positive		0.063
poppycock			negative		-0.8
popsicle			positive		0.052
popsicle_stick			positive		0.357
popular				positive		0.882
popular_attraction		positive		0.085
popular_building_material	negative		-0.02
popular_culture			positive		0.882
popular_destination		positive		0.097
popular_discontent		negative		-0.88
popular_eatery			positive		0.078
popular_entertainer		positive		0.882
popular_food			positive		0.029
popular_game			positive		0.082
popular_hangout			positive		0.926
popular_hobby			positive		0.859
popular_music			positive		0.06
popular_nightspot		positive		0.926
popular_pet			negative		-0.87
popular_recreation		positive		0.831
popular_resentment		negative		-0.88
popular_revolt			negative		-0.72
popular_soda			negative		-0.02
popular_sport			positive		0.044
popular_tourist			positive		0.085
popular_tourist_attraction	positive		0.085
popular_tourist_attractions	positive		0.085
popular_tourist_destination	positive		0.085
popular_tourist_spot		positive		0.085
popular_uprising		positive		0.766
popular_uprising_against	negative		-0.72
popular_vacation_destination	positive		0.962
popular_visitor_attraction	positive		0.085
popularity			positive		0.873
popularization			negative		-0.84
popularize			positive		0.882
popularly			positive		0.882
populate			positive		0.075
populate_area			positive		0.11
population			positive		0.055
population_densities		positive		0.881
population_density		positive		0.881
population_dynamic		negative		-0.72
populist_politician		positive		0.901
popup				negative		-0.08
popup_ads			negative		-0.08
popup_blocker			negative		-0.08
popup_window			negative		-0.08
popups				negative		-0.08
porbeagle			negative		-0.07
porcelain			positive		0.619
porcelain_crown			negative		-0.76
porcelain_dish			positive		0.031
porcelain_restoration		negative		-0.76
porcelain_skin			positive		0.751
porcelain_veneer		negative		-0.76
porch				positive		0.128
porcupine			negative		-0.86
porcupine_caribou		positive		0.054
porcupine_caribou_herd		positive		0.054
porcupine_erethizon_dorsatum	negative		-0.86
porcupine_fish			negative		-0.7
porcupine_herd			positive		0.054
porcupine_quill			positive		0.846
porcupine_river			positive		0.054
porcupinefish			negative		-0.7
pore				negative		-0.05
pore_pressure			negative		-0.62
pore_space			positive		0.357
pore_structure			negative		-0.62
pore_water_pressure		negative		-0.62
poring_over			positive		0.606
pork				negative		-0.06
pork_belly			negative		-0.03
pork_butcher			positive		0.04
pork_butt			negative		-0.97
pork_fat			positive		0.047
pork_fillet			negative		-0.03
pork_loin			positive		0.082
pork_pie			positive		0.773
pork_pie_hat			positive		0.063
pork_roast			positive		0.049
pork_sausage			positive		0.063
pork_scratching			positive		0.773
pork_tapeworm			negative		-0.85
pork_tenderloin			positive		0.082
porkpie_hat			positive		0.104
porn				positive		0.817
porn_actor			positive		0.902
porn_actress			positive		0.902
porn_star			positive		0.902
porno				positive		0.818
pornographer			negative		-0.71
pornographic			negative		-0.71
pornographic_literature		negative		-0.71
pornographic_magazine		negative		-0.90
pornographic_material		negative		-0.71
pornographic_picture		positive		0.942
pornography			positive		0.854
pornstar			positive		0.949
porosity			positive		0.686
porous				positive		0.945
porous_limestone		negative		-0.62
porous_material			negative		-0.04
porphyria			negative		-0.79
porphyria_cutanea_tarda		negative		-0.72
porphyria_cutanea_tarda_pct	negative		-0.79
porphyromonas_gingivalis	negative		-0.77
porpoise			negative		-0.07
porridge			positive		0.032
porridge_oat			positive		0.598
porringer			positive		0.149
port				negative		-0.03
port_orford_cedar		negative		-0.71
port_unreachable		positive		0.947
port_wine_stain			negative		-0.85
porta				negative		-0.73
porta_nuova			positive		0.783
portability			positive		0.759
portable			positive		0.182
portable_bleacher		positive		0.806
portable_computer		positive		0.066
portable_extinguisher		positive		0.869
portable_fire_extinguisher	negative		-0.03
portable_phone			positive		0.026
portable_pump			positive		0.032
portable_toilet			negative		-0.78
portal				positive		0.084
portal_venous			positive		0.727
portamento			positive		0.759
portant_une			negative		-0.73
porte_cochere			positive		0.04
portend				negative		-0.85
portent				negative		-0.82
portentous			positive		0.726
portentously			negative		-0.72
porter				positive		0.853
portfolio			positive		0.08
portfolio_investment		positive		0.137
portfolio_manager		positive		0.711
portfolio_strategist		positive		0.711
portico				positive		0.04
porticoed			negative		-0.80
porting_effort			positive		0.355
portion				positive		0.905
portkey				positive		0.076
portland_harbor			negative		-0.03
portmanteau			negative		-0.77
portrait			positive		0.05
portraitist			positive		0.819
portray				positive		0.929
portrayal			negative		-0.95
portrayed			positive		0.678
pose				positive		0.356
pose_nude			negative		-0.90
pose_threat			negative		-0.89
poseable			positive		0.889
posed_naked			negative		-0.86
posed_nude			negative		-0.90
posed_topless			negative		-0.90
poser				negative		-0.70
poseur				negative		-0.87
posh				positive		0.186
posh_restaurant			positive		0.892
poshtme				positive		0.148
posing_naked			negative		-0.90
posing_nude			negative		-0.86
posing_question			negative		-0.67
posit				positive		0.927
position			positive		0.151
position_furniture		positive		0.871
positional_isomer		positive		0.344
positional_play			positive		0.092
positional_sense		positive		0.092
positionality			positive		0.111
positive			positive		0.346
positive_attitude		positive		0.776
positive_attitude_toward	positive		0.776
positive_buoyancy		positive		0.345
positive_effect			positive		0.667
positive_emotion		positive		0.873
positive_emotionality		positive		0.852
positive_feedback		positive		0.239
positive_fraud			negative		-0.84
positive_impact			positive		0.153
positive_outcome		positive		0.889
positive_outlook		positive		0.776
positive_peer_pressure		positive		0.239
positive_reinforcement		positive		0.239
positive_reinforcer		positive		0.661
positive_reinforcing_stimulus	positive		0.661
positive_scalar_curvature	positive		0.124
positive_self_esteem		positive		0.873
positive_stimulus		positive		0.74
positively			positive		0.712
positively_affect		positive		0.719
positively_buoyant		positive		0.345
positively_charged		positive		0.664
positively_charged_nucleus	positive		0.357
positively_impact		positive		0.719
positiveness			positive		0.928
positiver			positive		0.708
positivism			negative		-0.82
positivistic			negative		-0.82
positivity			positive		0.924
positron			negative		-0.88
posse				positive		0.083
posse_superhuman_strength	positive		0.859
possess				positive		0.914
possess_firearm			negative		-0.77
possess_nuclear_weapon		negative		-0.06
possessed_superhuman_strength	positive		0.859
possesseth			positive		0.823
possessing_firearm		negative		-0.77
possessing_nuclear_weapon	negative		-0.08
possession			positive		0.094
possessive			negative		-0.44
possessive_pronoun		positive		0.9
possessively			positive		0.784
possessiveness			negative		-0.75
possessor			positive		0.575
possest				negative		-0.71
possibility			positive		0.099
possibility_to_die		negative		-0.71
possible			positive		0.099
possible_explanation		positive		0.084
possibleness			negative		-0.82
possit				positive		0.726
possum				positive		0.037
post				positive		0.726
post-impressionism		positive		0.807
post-it_note			positive		0.068
post-summit			positive		0.915
post-victory			positive		0.912
post_apocalyptic		negative		-0.68
post_apocalyptic_fiction	negative		-0.68
post_apocalyptic_future		negative		-0.68
post_apocalyptic_world		negative		-0.68
post_baccalaureate_program	positive		0.738
post_copulative			negative		-0.64
post_doc			positive		0.764
post_doctoral_fellow		positive		0.898
post_doctoral_researcher	positive		0.898
post_exilic			positive		0.072
post_fordist			positive		0.726
post_gazette			negative		-0.67
post_graduate			positive		0.873
post_hardcore			positive		0.726
post_letter			positive		0.099
post_message			positive		0.076
post_nasal_drip			negative		-0.88
post_natal			positive		0.088
post_natal_care			positive		0.088
post_nicene			negative		-0.16
post_note			negative		-0.03
post_notice			positive		0.074
post_operative_nausea		negative		-0.92
post_operative_pain		negative		-0.78
post_partum_care		positive		0.088
post_partum_depression		negative		-0.86
post_pubescent_female		negative		-0.67
post_secondary			positive		0.358
post_secondary_education	positive		0.358
post_structuralism		positive		0.731
post_structuralist		positive		0.731
post_transplant			negative		-0.43
post_traumatic			negative		-0.84
post_traumatic_stress		negative		-0.84
post_traumatic_stress_disorder	negative		-0.84
post_viceregal			positive		0.703
post_war			positive		0.114
post_world_war			negative		-0.81
post_wwii			positive		0.114
postage				positive		0.098
postage_stamp			positive		0.054
postal_carrier			positive		0.062
postal_clerk			positive		0.101
postal_counter			positive		0.059
postal_questionnaire		positive		0.035
postal_service			positive		0.869
postal_worker			positive		0.062
postbox				positive		0.101
postcanine_teeth		positive		0.034
postcard			positive		0.061
postcolonial_criticism		negative		-0.69
postcolonial_study		positive		0.731
postcolonial_theory		positive		0.731
postdoc				positive		0.761
postdoctoral_fellow		positive		0.822
postdoctoral_fellowship		positive		0.893
postdoctoral_level		positive		0.935
postdoctoral_research		positive		0.842
postdoctoral_research_fellowship	negative		-0.84
postdoctoral_researcher		positive		0.898
postdoctoral_scientist		positive		0.898
poste_restante			positive		0.101
posted_bail			positive		0.052
poster				positive		0.938
poster_bed			positive		0.072
poster_board			positive		0.357
poster_boy			negative		-0.71
poster_child			positive		0.969
posterboard			positive		0.357
posterior_aspect		negative		-0.25
posterior_auricular_artery	negative		-0.80
posterior_cerebral_artery	negative		-0.80
posterior_cingulate		positive		0.736
posterior_cingulate_cortex	positive		0.736
posterior_communicating_artery	negative		-0.80
posterior_cruciate_ligament	positive		0.781
posterior_distribution		positive		0.846
posterior_interosseous_nerve	negative		-0.25
posterior_margin		negative		-0.69
posterior_notch			positive		0.772
posterior_parietal_cortex	positive		0.096
posterior_pharyngeal_wall	positive		0.106
posterior_probability		positive		0.846
posterior_teeth			negative		-0.76
posteritie			negative		-0.30
posterity			positive		0.76
postfix				positive		0.062
postgame_locker_room		negative		-0.74
postgame_news_conference	negative		-0.74
postgame_press_conference	negative		-0.74
postglacial			positive		0.718
postgraduate			positive		0.873
postherpetic_neuralgia		negative		-0.77
posthole			negative		-0.59
posthuman			positive		0.729
posthumous_medal		positive		0.796
posthumous_promotion		positive		0.824
postiche			negative		-0.69
postie				positive		0.062
postilion			negative		-0.84
posting_bail			positive		0.052
postman				positive		0.101
postmark_date			positive		0.879
postmedial			negative		-0.61
postmodern			positive		0.776
postmodernism			positive		0.731
postmortem			negative		-0.68
postnasal_drip			negative		-0.29
postnatal_care			positive		0.088
postnatal_development		negative		-0.72
postoffice			positive		0.118
postoperative			negative		-0.63
postoperative_detail		negative		-0.63
postoperative_pain		negative		-0.78
postoperative_period		negative		-0.63
postoperatively			negative		-0.63
postorbital			positive		0.034
postpartum_care			positive		0.088
postpartum_depression		negative		-0.86
postpone			negative		-0.87
postpone_payment		positive		0.041
postponement			positive		0.854
postposition			positive		0.9
postprandial			positive		0.924
postproduction			positive		0.098
postscript			negative		-0.65
postsecondary_degree		positive		0.893
postsecondary_education		positive		0.358
postsecondary_level		positive		0.967
poststructuralism		positive		0.731
postsynaptic_cell		negative		-0.72
postsynaptic_neuron		negative		-0.72
posttraumatic			negative		-0.84
posttraumatic_stress		negative		-0.84
posttraumatic_stress_disorder	negative		-0.71
postulate			negative		-0.80
postural			negative		-0.09
postural_alignment		positive		0.831
postural_control		negative		-0.09
postural_hypotension		negative		-0.82
posture				positive		0.134
posturing			negative		-0.83
postwar				positive		0.114
postwar_decade			positive		0.114
postwar_era			negative		-0.83
postwar_period			positive		0.114
postwoman			positive		0.101
pot				positive		0.038
pot-luck			positive		0.893
pot_au_feu			positive		0.619
pot_herb			positive		0.823
pot_hole			positive		0.901
pot_marjoram			positive		0.831
pot_metal			positive		0.756
pot_odds			negative		-0.74
pot_origanum			positive		0.828
pot_roast			positive		0.881
pot_shot_at			negative		-0.79
pot_smoker			positive		0.931
pot_sticker			negative		-0.03
potable				positive		0.712
potable_drinking_water		positive		0.685
potable_liquid			positive		0.075
potable_water			positive		0.685
potable_water_supplies		positive		0.685
potable_water_supply		positive		0.685
potamogeton_pectinatus		negative		-0.72
potash				positive		0.035
potassium			negative		-0.06
potassium-rich			negative		-0.81
potassium_bitartrate		positive		0.871
potassium_carbonate		negative		-0.01
potassium_concentration		negative		-0.68
potassium_excretion		positive		0.795
potassium_fertilizer		positive		0.035
potassium_hydroxide		negative		-0.72
potassium_metabisulfite		negative		-0.72
potassium_permanganate		negative		-0.06
potassium_salt			negative		-0.05
potassium_sulfate		negative		-0.05
potation			negative		-0.63
potato				positive		0.729
potato_bug			positive		0.892
potato_cake			positive		0.773
potato_chip			positive		0.102
potato_chip_bag			positive		0.93
potato_chips			positive		0.102
potato_croquette		negative		-0.78
potato_dish			positive		0.063
potato_dumpling			positive		0.063
potato_farm			positive		0.094
potato_flour			positive		0.802
potato_fungus			negative		-0.84
potato_gratin			positive		0.043
potato_leaf			positive		0.063
potato_leafhopper		negative		-0.04
potato_masher			positive		0.06
potato_pancake			positive		0.063
potato_peeler			positive		0.084
potato_pie			positive		0.773
potato_scone			positive		0.773
potato_solanum_tuberosum	negative		-0.02
potato_starch			positive		0.047
potato_stew			positive		0.617
potato_wart_fungus		negative		-0.84
potato_wedge			positive		0.043
potboiler			negative		-0.06
poteen				positive		0.75
potency				positive		0.744
potent				positive		0.867
potent_anti_inflammatory	negative		-0.73
potentate			positive		0.865
potential			positive		0.869
potential_aggressor		negative		-0.69
potential_application		positive		0.815
potential_bias			positive		0.759
potential_challenger		positive		0.793
potential_conflict		positive		0.33
potential_cost_savings		positive		0.112
potential_danger		negative		-0.44
potential_energy		positive		0.808
potential_harmful_effect	negative		-0.77
potential_hazard		positive		0.11
potential_safety_hazard		positive		0.11
potential_slayer		positive		0.081
potential_vorticity		positive		0.802
potentialities			positive		0.12
potentiality			positive		0.709
potentially			positive		0.899
potentially_beneficial		positive		0.667
potentially_cancerous		negative		-0.88
potentially_costly		negative		-0.09
potentially_dangerous		negative		-0.83
potentially_dangerous_asteroid	positive		0.806
potentially_deadly		negative		-0.71
potentially_fraudulent		negative		-0.84
potentially_harmful		negative		-0.83
potentially_hazardous		negative		-0.83
potentially_hazardous_asteroid	positive		0.806
potentially_insecure		negative		-0.98
potentially_lethal		negative		-0.71
potentially_lucrative		positive		0.798
potentially_malicious		negative		-0.98
potentially_profitable		positive		0.798
potentially_unsafe		negative		-0.83
potentially_useful		negative		-0.04
potentiate			positive		0.716
potentiation			positive		0.792
potentilla_erecta		negative		-0.77
potentiodynamic			positive		0.802
potently			positive		0.845
potest				positive		0.726
pothead				negative		-0.34
pother				negative		-0.71
pothole				positive		0.901
pothole_repair			positive		0.901
pothole_repairs			positive		0.901
pothouse			negative		-0.69
potion				positive		0.076
potiphar			negative		-0.65
potluck				positive		0.892
potpourri			positive		0.851
potsherd			negative		-0.59
potted_meat			negative		-0.85
potted_palm			positive		0.754
potter				positive		0.619
pottery				negative		-0.07
pottery_fragment		negative		-0.59
pottery_manufacture		positive		0.619
pottery_shard			negative		-0.59
pottery_sherd			negative		-0.59
pottery_vessel			negative		-0.10
potting_compost			negative		-0.08
potting_media			negative		-0.08
potting_mix			negative		-0.08
potting_soil			negative		-0.08
potty				positive		0.945
potty_chair			positive		0.763
potty_seat			positive		0.763
potyvirus			negative		-0.84
pouch				negative		-0.07
pouf				positive		0.996
poultice			positive		0.791
poultry				negative		-0.83
poultry_farm			positive		0.094
pounce				positive		0.965
pounced_upon			negative		-0.71
pound				negative		-0.67
pound_overweight		negative		-0.97
pound_pumpkin			negative		-0.02
pound_puppy			negative		-0.73
poundal				negative		-0.67
pounding			negative		-0.83
pounding_drum			positive		0.125
pounding_headache		negative		-0.82
pounding_heart			positive		0.801
pounding_rain			negative		-0.85
poundmaker			negative		-0.86
pour				positive		0.057
pour_cela			positive		0.935
pour_endiguer			positive		0.938
pour_fabriquer			negative		-0.73
pour_forth			positive		0.336
pour_fraude_fiscale		positive		0.766
pour_gasoline			negative		-0.03
pour_homme			positive		0.867
pour_hot_coffee_mug		positive		0.03
pour_leur			positive		0.935
pour_liquid			positive		0.855
pour_petrol			negative		-0.77
pour_trancher			positive		0.938
pour_water			negative		-0.06
poured_gasoline			negative		-0.77
poured_gasoline_over		negative		-0.77
poured_petrol			negative		-0.03
poured_petrol_over		positive		0.724
pouring_gasoline		negative		-0.03
pouring_petrol			negative		-0.03
pouring_petrol_over		positive		0.724
pouring_rain			negative		-0.85
pournami_full_moon		positive		0.075
pours_forth			negative		-0.78
poursuit_le			positive		0.938
pout				negative		-0.44
pouty_lip			positive		0.751
pouvoir_en			positive		0.753
poverty				negative		-0.97
poverty-stricken		negative		-0.76
poverty_alleviation		positive		0.79
poverty_alleviation_programme	positive		0.79
poverty_stricken		negative		-0.28
poverty_stricken_area		negative		-0.38
pow				negative		-0.88
pow_camp			positive		0.098
powder				positive		0.855
powder-coated			negative		-0.80
powder_blush			negative		-0.92
powder_burn			negative		-0.64
powdered_hair			negative		-0.67
powdered_milk			positive		0.04
powdered_sugar			positive		0.043
powdered_wig			negative		-0.67
powderiness			negative		-0.66
powdery_mildew			negative		-0.71
powell_peralta			negative		-0.14
power				positive		0.766
power_adapter			positive		0.063
power_amplifier			positive		0.028
power_broker			negative		-0.92
power_cable			positive		0.063
power_chord			positive		0.836
power_conferred_upon		positive		0.723
power_consumption		positive		0.646
power_converter			positive		0.063
power_cord			positive		0.063
power_dissipation		negative		-0.87
power_door_lock			positive		0.109
power_drill			positive		0.886
power_electricity		positive		0.121
power_engine			positive		0.116
power_gasoline			positive		0.867
power_hungry			negative		-0.87
power_of_appointment		positive		0.744
power_outage			negative		-0.18
power_plant			positive		0.842
power_play			positive		0.974
power_project			positive		0.818
power_screwdriver		positive		0.849
power_sharing_arrangement	positive		0.183
power_shortage			negative		-0.83
power_source			positive		0.72
power_struggle			negative		-0.83
power_supply			positive		0.063
power_surge			negative		-0.09
power_switch			positive		0.043
power_vaccuum			negative		-0.81
power_vacuum			negative		-0.81
powerade			positive		0.851
powerbroker			negative		-0.92
powered_wheelchair		positive		0.144
powerful			positive		0.836
powerful_demon			negative		-0.75
powerful_forelimb		negative		-0.33
powerful_incentive		positive		0.764
powerful_jaw			positive		0.867
powerful_man			positive		0.054
powerful_noble			positive		0.695
powerful_sorcerer		positive		0.043
powerful_thunderstorm		negative		-0.14
powerful_tool			negative		-0.04
powerful_tool_available		positive		0.895
powerful_winter_storm		negative		-0.85
powerfully			positive		0.84
powerhouse			positive		0.771
powerless			negative		-0.76
powerlessness			negative		-0.66
powerslam			positive		0.085
powerwolf			negative		-0.81
powri				negative		-0.05
pows				negative		-0.88
poyson				negative		-0.85
ppar_gamma			positive		0.783
pprangi				negative		-0.84
pps_signal			negative		-0.78
pr_disaster			negative		-0.75
pr_guitar			negative		-0.72
pr_interval			positive		0.055
pr_stunt			negative		-0.81
practicability			positive		0.849
practicable			positive		0.796
practical			positive		0.139
practical_advice		positive		0.049
practical_application		positive		0.148
practical_consideration		positive		0.9
practical_experience		positive		0.983
practical_guidance		positive		0.049
practical_guide			positive		0.049
practical_joke			negative		-0.76
practical_joker			positive		0.823
practical_matter		negative		-0.04
practical_relevance		positive		0.33
practical_seamanship		positive		0.87
practical_skill			negative		-0.06
practical_solution		positive		0.068
practical_suggestion		positive		0.049
practical_theology		positive		0.741
practical_tip			positive		0.049
practical_wisdom		positive		0.8
practicality			positive		0.9
practically			positive		0.073
practically_impossible		negative		-0.85
practice			positive		0.064
practice_bundling		negative		-0.76
practice_lot			positive		0.716
practice_of_law			positive		0.608
practice_skill			positive		0.716
practice_yoga			positive		0.738
practiced			positive		0.833
practiced_cannibalism		negative		-0.75
practiced_medicine		positive		0.71
practiced_yoga			positive		0.93
practicing_attorney		positive		0.057
practicing_professional		positive		0.077
practicing_yoga			positive		0.93
practicum			positive		0.121
practicum_experience		positive		0.121
practise			negative		-0.06
practise_medicine		negative		-0.06
practised_medicine		positive		0.639
practising_barrister		positive		0.046
practising_medicine		positive		0.71
practitioner			positive		0.077
prada_shoes			positive		0.867
praetorian			positive		0.744
praetorius			positive		0.027
pragmatic			positive		0.91
pragmatic_consideration		positive		0.9
pragmatic_solution		negative		-0.75
pragmatism			positive		0.858
pragmatist			positive		0.91
prairie_chicken			positive		0.72
prairie_creek_redwood		positive		0.977
prairie_dog_creek		positive		0.04
prairie_falcon			negative		-0.82
prairie_fox			negative		-0.79
prairie_schooner		positive		0.093
prairie_sod			negative		-0.78
prairie_style			positive		0.838
prairie_vole			positive		0.795
praise				positive		0.74
praiseful			positive		0.844
praiseworthily			positive		0.315
praiseworthiness		positive		0.739
praiseworthy			positive		0.843
praising			positive		0.843
praising_god			positive		0.136
prakti				negative		-0.71
praline				negative		-0.82
pranayama			positive		0.93
prance				positive		0.104
prance_around			positive		0.138
prancing_around			negative		-0.86
prank				positive		0.65
prankish			negative		-0.81
prankster			negative		-0.31
prashna_upanishad		positive		0.75
prataprao			negative		-0.83
prate				negative		-0.80
pratensis			negative		-0.74
pratfall			positive		0.772
prattle				negative		-0.80
pravity				positive		0.689
praxis_exam			negative		-0.08
pray				positive		0.117
pray_god			positive		0.817
prayed_aloud			negative		-0.04
prayer				positive		0.136
prayer_gathering		positive		0.136
prayer_hall			positive		0.211
prayer_halls			positive		0.211
prayerful			positive		0.136
prayerfulness			negative		-0.65
praying_mantis			positive		0.037
pre_adolescent			positive		0.666
pre_amp				positive		0.028
pre_amplifier			positive		0.028
pre_copulative			negative		-0.64
pre_diabetic			negative		-0.97
pre_dreadnought			negative		-0.07
pre_dreadnought_battleship	negative		-0.07
pre_dreadnought_battleships	negative		-0.07
pre_eminence			negative		-0.83
pre_eminent_position		negative		-0.83
pre_eminently			positive		0.945
pre_emptive			negative		-0.77
pre_emptive_attack		negative		-0.77
pre_emptive_military		negative		-0.77
pre_emptive_nuclear		negative		-0.77
pre_emptive_strike		negative		-0.77
pre_existent			positive		0.815
pre_feasibility_study		positive		0.095
pre_frontal_cortex		positive		0.899
pre_ignition			negative		-0.78
pre_kindergarten		positive		0.024
pre_marital_sex			negative		-0.72
pre_natal			positive		0.088
pre_natal_care			positive		0.088
pre_prep			positive		0.024
pre_preparatory_school		positive		0.024
pre_pubescent			positive		0.666
pre_requisite_course		positive		0.738
pre_schoolers			positive		0.024
pre_stonewall			negative		-0.93
pre_teen			positive		0.666
preach				positive		0.914
preacher			positive		0.835
preachin			positive		0.096
preachiness			negative		-0.72
preaching			positive		0.081
preamp				positive		0.028
preamplifier			positive		0.028
preamplifiers			positive		0.028
precarious			negative		-0.85
precarious_existence		negative		-0.73
precariousness			positive		0.815
precaution			negative		-0.79
precautionary			negative		-0.77
precautionsadjust_dose		negative		-0.82
precautionscaution		negative		-0.76
precede				positive		0.976
precedence			positive		0.366
precedence_dictate		negative		-0.67
preceding			negative		-0.77
preceding_consonant		positive		0.943
preceding_vowel			positive		0.943
precept				positive		0.714
preces				negative		-0.81
precious			positive		0.74
precious_floor			positive		0.283
precious_gem			positive		0.901
precious_gift			positive		0.093
precious_jewel			positive		0.788
precious_metal			negative		-0.01
precious_mineral		negative		-0.64
precious_stone			positive		0.039
precious_treasure		negative		-0.03
preciousness			positive		0.845
precipice			positive		0.283
precipitance			negative		-0.69
precipitancy			negative		-0.69
precipitant			negative		-0.94
precipitate			negative		-0.95
precipitately			negative		-0.87
precipitateness			negative		-0.69
precipitation			negative		-0.94
precipitation_amount		negative		-0.07
precipitation_anomaly		negative		-0.69
precipitation_fall		negative		-0.07
precipitation_forecast		negative		-0.04
precipitation_pattern		positive		0.093
precipitation_regime		positive		0.093
precipitation_total		negative		-0.07
precipitous			negative		-0.78
precipitous_withdrawal		negative		-0.69
precipitously			negative		-0.91
precipitousness			negative		-0.69
precise				positive		0.11
precise_definition		positive		0.105
precise_detail			positive		0.105
precise_location		positive		0.105
precise_mathematical		positive		0.678
precise_nature			positive		0.132
precisely			positive		0.722
preciseness			positive		0.704
precision			positive		0.871
precision_firepower		negative		-0.69
preclude			positive		0.852
preclusion			negative		-0.68
precocious			positive		0.964
precocious_child		positive		0.819
precocious_dentition		negative		-0.86
precociously			positive		0.666
precociousness			negative		-0.74
precocity			negative		-0.74
precognition			positive		0.866
precognitive			positive		0.866
precognitive_ability		positive		0.866
precollege			positive		0.358
precomposed_character		negative		-0.76
preconceive			positive		0.791
preconception			negative		-0.78
